Municipio,Circunscripcion,Partido,Candidato,Votos,Partido_Votos,Partido_P,P
APIA,NACIONAL,MOVIMIENTO SALVACIÓN NACIONAL,PEDRO PABLO CONTRERAS PINILLOS,15,328,6.25%,0.28%
APIA,NACIONAL,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,BARBARA CECILIA JARAMILLO MAYA,15,660,12.57%,0.28%
APIA,NACIONAL,COALICIÓN CAMBIO RADICAL - ALMA,JOSE NICOLAS GOMEZ MEDINA,14,639,12.17%,0.26%
APIA,NACIONAL,CREEMOS,JULIANA GUTIERREZ ZULUAGA,14,126,2.4%,0.26%
APIA,NACIONAL,AHORA COLOMBIA,NASLY ROCIO RESTAN COGOLLO,13,622,11.85%,0.24%
APIA,NACIONAL,AHORA COLOMBIA,RAWDY REALES ROIS,13,622,11.85%,0.24%
APIA,NACIONAL,ALIANZA POR COLOMBIA,DIVINA LUZ OBREDOR LUNA,13,601,11.45%,0.24%
APIA,NACIONAL,ALIANZA POR COLOMBIA,MARIO ENRIQUE IBAÑEZ RAMIREZ,13,601,11.45%,0.24%
APIA,NACIONAL,PARTIDO CONSERVADOR COLOMBIANO,JORGE ALIRIO RAYO LOZADA,13,613,11.68%,0.24%
APIA,NACIONAL,PARTIDO CONSERVADOR COLOMBIANO,RODRIGO GRAJALES VALENCIA,13,613,11.68%,0.24%
APIA,NACIONAL,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,ANA PAOLA GARCIA SOTO,13,660,12.57%,0.24%
APIA,NACIONAL,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,MARIA EUGENIA JARABA MARTINEZ,13,660,12.57%,0.24%
APIA,NACIONAL,AHORA COLOMBIA,ALMA NEDIS TOBIO IBARRA,12,622,11.85%,0.22%
APIA,NACIONAL,ALIANZA POR COLOMBIA,SANTIAGO EFRAIN JORY SALAZAR,12,601,11.45%,0.22%
APIA,NACIONAL,COALICIÓN CAMBIO RADICAL - ALMA,IVAN SAMUEL PEÑA ANDRADE,12,639,12.17%,0.22%
APIA,NACIONAL,COALICIÓN FUERZA CIUDADANA,SANDRA RAMIREZ LOBO SILVA,12,410,7.81%,0.22%
APIA,NACIONAL,COALICIÓN FUERZA CIUDADANA,TARSICIO RIVERA MUÑOZ,12,410,7.81%,0.22%
APIA,NACIONAL,FRENTE AMPLIO UNITARIO,ANA ELISA IRAGORRI CASTRO,12,569,10.84%,0.22%
APIA,NACIONAL,MOVIMIENTO SALVACIÓN NACIONAL,JUAN CAMILO OSTOS ROMERO,12,328,6.25%,0.22%
APIA,NACIONAL,MOVIMIENTO SALVACIÓN NACIONAL,LINA MARCELA LONDOÑO OSORIO,12,328,6.25%,0.22%
APIA,NACIONAL,PARTIDO CONSERVADOR COLOMBIANO,BRAYAN STIVEN REALPE URIBE,12,613,11.68%,0.22%
APIA,NACIONAL,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,ANDRES OLMEDO GRUESO MARTINEZ,12,660,12.57%,0.22%
APIA,NACIONAL,PARTIDO LIBERAL COLOMBIANO,CAMILO ANDRES TORRES VILLALBA,12,641,12.21%,0.22%
APIA,NACIONAL,PARTIDO LIBERAL COLOMBIANO,CAMILO HUMBERTO OLANO ORTIZ,12,641,12.21%,0.22%
APIA,NACIONAL,AHORA COLOMBIA,ANASTASIA RUBIO BETANCOURT,11,622,11.85%,0.2%
APIA,NACIONAL,AHORA COLOMBIA,CHARLES FIGUEROA LOPERA,11,622,11.85%,0.2%
APIA,NACIONAL,AHORA COLOMBIA,EDGAR ERNESTO ROBAYO GUERRERO,11,622,11.85%,0.2%
APIA,NACIONAL,AHORA COLOMBIA,JOHANA KATERINE BOCANEGRA GUTIERREZ,11,622,11.85%,0.2%
APIA,NACIONAL,ALIANZA POR COLOMBIA,JOSE ALBEIRO CARDENAS LOPEZ,11,601,11.45%,0.2%
APIA,NACIONAL,ALIANZA POR COLOMBIA,JULIETH XIMENA HURTADO PINILLA,11,601,11.45%,0.2%
APIA,NACIONAL,ALIANZA POR COLOMBIA,SEBASTIAN ROMERO RESTREPO,11,601,11.45%,0.2%
APIA,NACIONAL,ALIANZA POR COLOMBIA,VICTOR ALFONSO BECERRA SALAZAR,11,601,11.45%,0.2%
APIA,NACIONAL,COALICIÓN CAMBIO RADICAL - ALMA,DEILLY MOSQUERA MENA,11,639,12.17%,0.2%
APIA,NACIONAL,COALICIÓN CAMBIO RADICAL - ALMA,FABIAN DE JESUS HIGINIO GIRALDO,11,639,12.17%,0.2%
APIA,NACIONAL,COALICIÓN CAMBIO RADICAL - ALMA,JOSE DOMINGO GOYENECHE LANDINEZ,11,639,12.17%,0.2%
APIA,NACIONAL,COALICIÓN CAMBIO RADICAL - ALMA,LUIS ALEJANDRO SIZA URIBE,11,639,12.17%,0.2%
APIA,NACIONAL,COALICIÓN CAMBIO RADICAL - ALMA,SELMEN DAVID ARANA CANO,11,639,12.17%,0.2%
APIA,NACIONAL,COALICIÓN FUERZA CIUDADANA,JOSE RICARDO LANDAETA LOPEZ,11,410,7.81%,0.2%
APIA,NACIONAL,FRENTE AMPLIO UNITARIO,FABIO VESGA GUZMAN,11,569,10.84%,0.2%
APIA,NACIONAL,FRENTE AMPLIO UNITARIO,RAFAEL DAVID CUELLO RAMIREZ,11,569,10.84%,0.2%
APIA,NACIONAL,MOVIMIENTO SALVACIÓN NACIONAL,WILSON RUIZ OREJUELA,11,328,6.25%,0.2%
APIA,NACIONAL,PARTIDO CONSERVADOR COLOMBIANO,EDWAR JALABE DIAZ,11,613,11.68%,0.2%
APIA,NACIONAL,PARTIDO CONSERVADOR COLOMBIANO,ERIKA RAMIREZ ARISTIZABAL,11,613,11.68%,0.2%
APIA,NACIONAL,PARTIDO CONSERVADOR COLOMBIANO,MARIA CONSUELO SUAREZ RAMOS,11,613,11.68%,0.2%
APIA,NACIONAL,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,ANGELICA MARIA PEREIRA MUÑOZ,11,660,12.57%,0.2%
APIA,NACIONAL,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,ANTONIO JOSE CORREA JIMENEZ,11,660,12.57%,0.2%
APIA,NACIONAL,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,JULIAN QUINTERO OSPINA,11,660,12.57%,0.2%
APIA,NACIONAL,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,MARIA EDITH CASTELLANOS GARCIA,11,660,12.57%,0.2%
APIA,NACIONAL,PARTIDO LIBERAL COLOMBIANO,ANA ELVIA FELIX FUQUEN,11,641,12.21%,0.2%
APIA,NACIONAL,PARTIDO LIBERAL COLOMBIANO,ANA FLOR ALBA VILLAMIL OSMA,11,641,12.21%,0.2%
APIA,NACIONAL,PARTIDO LIBERAL COLOMBIANO,GLORIA ELENA MESA CEBALLOS,11,641,12.21%,0.2%
APIA,NACIONAL,PARTIDO LIBERAL COLOMBIANO,MARYI ALEJANDRA RODRIGUEZ FONSECA,11,641,12.21%,0.2%
APIA,NACIONAL,AHORA COLOMBIA,CARLOS ANDRES NARANJO SIERRA,10,622,11.85%,0.19%
